2025-03-19 18:50:00,657 - INFO - Starting post-deployment data restoration
2025-03-19 18:50:00,744 - INFO - Database connection established
2025-03-19 18:50:00,744 - INFO - Transaction started
2025-03-19 18:50:00,758 - INFO - Data loaded from migration_data.json
2025-03-19 18:50:00,758 - INFO - === PRE-DEPLOYMENT DATA COUNTS (FROM JSON) ===
2025-03-19 18:50:00,759 - INFO - Committee Reports: 52
2025-03-19 18:50:00,759 - INFO - Agenda Items: 209
2025-03-19 18:50:00,759 - INFO - Removed Agenda Items: 19
2025-03-19 18:50:00,759 - INFO - Published Agenda Items: 34
2025-03-19 18:50:00,760 - INFO - Roll Calls: 1606
2025-03-19 18:50:01,718 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8559, skipping roll call
2025-03-19 18:50:01,718 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8559, skipping roll call
2025-03-19 18:50:01,719 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,719 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,719 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,719 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,720 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,720 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,720 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,720 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,720 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,720 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,721 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,721 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,721 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,721 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,721 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,722 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,722 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,722 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8560, skipping roll call
2025-03-19 18:50:01,723 - WARNING - No new agenda item ID found for meeting ID 1676 and agenda item ID 9554, skipping roll call
2025-03-19 18:50:01,723 - WARNING - No new agenda item ID found for meeting ID 1676 and agenda item ID 9554, skipping roll call
2025-03-19 18:50:01,723 - WARNING - No new agenda item ID found for meeting ID 1676 and agenda item ID 9554, skipping roll call
2025-03-19 18:50:01,723 - WARNING - No new agenda item ID found for meeting ID 1676 and agenda item ID 9554, skipping roll call
2025-03-19 18:50:01,724 - WARNING - No new agenda item ID found for meeting ID 1676 and agenda item ID 9555, skipping roll call
2025-03-19 18:50:01,724 - WARNING - No new agenda item ID found for meeting ID 1676 and agenda item ID 9555, skipping roll call
